"","D-Sas4_1","D-Sas4_2","D-Sas4_3","D-Ssas6_1","D-Ssas6_2","D-Ssas6_3","SakOE_1","SakOE_2","SakOE_3","w67WT_1","w67WT_2","w67WT_3","OregonRWT_1","OregonRWT_2","OregonRWT_3"
"path",10.32032459,10.3194576,10.70091377,10.14724416,10.53380535,9.871083239,11.41728042,11.10902751,11.39741916,7.729198922,7.750561893,7.442955212,9.981186025,10.29693877,8.811188605
"IRSp53",4.010087993,4.421934613,4.066086519,2.968522138,2.715364069,2.850105003,3.465741654,3.356729677,3.434312404,3.866375834,4.022283021,4.264197099,3.354185712,3.651034955,2.938675183
"Lmx1a",5.564659573,5.608198112,5.734007863,5.202205185,4.819293755,5.187206943,4.347580502,4.528392039,4.511780364,5.655084023,5.719164724,6.011507953,5.06878217,5.138518548,5.441149037
"sowah",3.441754574,3.270917665,3.766667981,4.499574726,4.692640311,4.42651568,3.718902232,3.188270283,3.111759895,3.234047741,2.934679303,3.3039666,3.336294007,3.158214181,3.342474561
"CG14107",3.450867859,3.295364979,3.175341786,2.383738548,2.621165153,2.315925091,2.226741308,2.217508729,2.226741308,2.952561899,3.109285158,3.063412613,3.815188858,4.031301337,3.894288456
"Hml",7.74239673,5.783827479,6.053172288,4.126715597,3.660000401,4.513630822,5.239420765,5.182504387,4.721923127,5.668443415,5.192173653,5.65338864,4.747753455,4.395892397,4.955803506
"CG7768",5.568232471,5.033069881,5.001571614,6.935110091,7.023272823,6.965252999,6.597153262,6.373057607,5.041495481,6.994501377,7.191121366,6.915320418,6.983505765,6.981033172,7.040715133
"CG17839",5.531418211,5.664256305,5.768636829,5.006627622,4.962317816,4.901970819,4.839524838,4.745441143,4.812909232,5.682523627,5.736709409,6.094083113,5.296842033,5.240652359,5.489681094
"CG7650",6.418049166,6.302540639,6.48202131,3.332753113,3.353587252,3.257581412,3.564277197,3.564277197,3.717821133,4.654402659,4.306225207,4.240676616,5.350118686,4.865056296,4.972124989
"Pka-C3",7.315948383,7.30776085,7.291190009,7.247481898,7.818321907,7.301998369,5.582271794,5.675741263,6.349187736,7.533125448,7.292883278,7.285621694,7.183995476,7.403175468,7.176507163
"CG17026",4.261505271,4.273671718,4.547500333,4.079696374,4.376141592,4.47092465,2.803340182,3.003466876,3.017769225,4.607989153,4.671637051,4.583430316,4.137991436,4.071567072,4.773579235
"CG17029",4.033344834,4.347666265,4.316980919,4.055965088,3.581447064,4.055965088,3.092017504,2.983276149,2.904071803,4.406761872,4.200017837,4.714129026,3.805705474,3.777875694,3.920071475
"CG5830",10.34531252,10.51191248,10.64642908,10.29999476,10.28678507,10.33436688,8.983089567,8.97621737,9.072979609,10.52077304,10.44943459,10.4904733,10.19194676,10.24371125,10.32582176
"Notum",3.493566819,3.49499739,3.49499739,2.828705579,2.768554599,2.768554599,2.326406689,2.27544731,2.326406689,3.513256441,3.490443433,3.582735719,3.354156141,3.388824098,3.267507055
"CG13046",4.612609531,4.463430051,4.584757024,4.271468143,4.630533449,4.503579502,5.495927625,5.257532745,5.56925663,4.4560687,4.062503721,4.408353174,4.171168749,4.266227645,4.242212617
"CG13044",8.374902256,8.814066767,8.777308829,8.979109167,8.907223388,9.267719951,8.135868807,7.774756837,7.362902497,9.020684554,9.139261925,9.427776592,8.546910551,8.714940733,8.688516773
"dsx-c73A",3.267906407,3.227687066,3.641423949,3.645772587,3.904581648,3.632821363,4.812628936,5.52966114,5.958251605,3.603306385,3.249641988,3.276328653,3.65443504,3.395922482,3.223437207
"CG13023",5.859706932,5.889236913,5.515988462,7.546579221,7.389826701,7.323776211,7.776120366,7.741090066,7.633597445,7.153774798,7.093181633,7.188107004,7.529375566,7.606760814,7.633636284
"GNBP2",5.029076251,4.971993349,5.137524734,4.327452756,4.324422148,4.302898765,5.227502739,5.570642124,5.585912632,3.790732125,4.179062107,4.000486656,3.661310952,3.495317439,3.55516253
"ftz-f1",5.550626786,6.502077883,5.855804669,6.159522889,5.793932141,5.295702871,4.934759492,4.727377547,3.71082294,5.882992564,5.193872351,5.6730812,5.585957122,5.055461394,5.123257684
"pip",2.743305721,2.745641011,2.739411822,3.068631257,3.531484145,3.600061242,3.884546724,4.062005077,3.624395771,2.747622063,2.745257212,3.273227865,2.458911454,2.478844496,2.466345405
