"","D-Sas4_1","D-Sas4_2","D-Sas4_3","D-Ssas6_1","D-Ssas6_2","D-Ssas6_3","SakOE_1","SakOE_2","SakOE_3","w67WT_1","w67WT_2","w67WT_3","OregonRWT_1","OregonRWT_2","OregonRWT_3"
"1624036_at",8.788773861,7.613793484,8.45302436,8.10026435,8.54700629,7.938622507,8.666412064,8.884796144,9.18020234,8.578534732,8.256090521,8.412262228,8.2665989,8.309433286,8.037557426
"1639023_at",7.80602798,7.736451658,7.887582011,7.221550421,7.170414713,6.963036839,6.801240725,6.889173636,7.094744138,6.932725801,7.032168073,7.261466982,7.053783649,6.954216716,6.878703584
"1635760_at",6.293677528,6.348740988,6.521918132,6.397838829,6.322828805,6.417944667,6.072156086,5.850247465,5.854804009,6.180044244,6.157600356,6.523098257,6.583903249,6.398584413,6.555137005
"1626265_at",3.857810613,3.866664308,3.857810613,3.402537558,3.402503296,3.402469035,3.362423743,3.362423743,3.362423743,3.857810613,3.857810613,3.857810613,3.551475755,3.551475755,3.551475755
"1641065_s_at",8.791190146,8.163015112,8.470853108,8.667849967,8.72868309,8.557855488,8.062281394,8.234581604,8.373925558,8.652125514,8.731581274,8.421835507,8.339455294,8.753963566,8.893078273
"1634709_at",7.69446454,7.799881655,7.783761591,7.620233649,7.486568803,7.548125332,7.229220081,7.302476103,7.311145467,7.762968936,7.910933745,7.857477425,7.369291852,7.40638281,7.519972343
"1625962_at",10.73072687,10.77449203,10.83629043,10.24872112,10.16966623,10.2896367,10.67532391,10.59489966,10.66397325,10.23516479,10.34793643,10.44029448,10.28040374,10.20294404,10.18709029
"1629142_at",4.741500101,4.118902458,5.240766864,5.010442465,4.585468797,4.845830325,5.827436921,5.506787447,5.598493284,4.598966826,4.758561511,4.617238382,4.77808975,4.920742302,4.86806802
"1632235_at",6.086932872,6.1964067,6.075609809,6.182988341,6.044268321,6.109239077,5.520831783,5.70526706,5.565026,6.083775645,6.300051299,6.293453929,6.111483217,6.118929527,6.380411597
"1624533_s_at",10.47549509,10.38707595,10.60258285,10.65294621,10.59966381,10.6339632,10.14235932,10.20020005,10.1575603,10.50531592,10.57736119,10.57640249,10.33283298,10.28745104,10.34862333
"1631004_s_at",9.918096387,10.03311746,9.88583867,10.28818707,10.33624212,10.19314841,9.985919169,9.934390747,10.00255603,9.71900917,9.897165036,9.858863129,9.790157091,9.576808417,9.519800545
"1641343_at",8.064756642,8.51469929,8.430726911,7.886016125,7.263603561,7.698446208,8.422671847,8.179840644,7.867981081,8.103970989,8.107940346,8.32841586,8.020961413,7.612322689,7.967273696
"1624463_s_at",8.337976382,8.417115605,8.404863929,8.567896242,8.262505582,7.991070567,8.318684709,8.391782163,8.313553548,7.732174271,7.718671902,7.435591296,7.85252077,7.639981697,7.741528638
"1630018_at",4.513291124,4.588563886,4.656789096,4.463837503,4.279018296,4.311688856,3.965904397,3.797124684,3.77946575,4.279842785,4.299810263,4.837821125,4.887747648,4.750832933,4.843878985
"1631303_s_at",7.668494055,7.394103211,7.535372675,7.717798375,7.351874515,7.33555107,7.179687698,7.186396161,7.251821859,7.317981746,7.049378446,7.433871815,6.97269675,7.245466678,7.048807204
"1625928_at",5.928451734,5.960176878,5.580296053,5.769487979,5.383675998,6.055231743,5.58799956,5.821419507,6.127369705,5.505969247,5.280606961,5.897489336,5.501230333,5.346733688,5.430441115
"1629322_at",5.817894781,6.286865558,6.146078477,6.367679567,6.068620737,6.026146249,6.390369266,6.408910061,6.531425168,6.234062732,6.492988685,6.409176319,5.844918709,6.114178591,6.354551439
"1626908_at",3.795846551,3.972011201,3.994287384,5.358195526,5.168748831,5.347578274,3.90157834,4.121049009,3.778358091,4.935026404,5.000274416,4.793895382,4.102290922,4.14773634,4.196757395
"1640112_at",9.479739502,9.538437204,9.541606629,8.475016739,8.275298163,8.299815381,8.715890157,8.775974769,8.738073424,8.408105206,8.21856005,8.390859546,8.527883247,8.118008097,8.728857401
"1634063_a_at",9.963095293,9.803145798,10.06251103,9.353910877,9.395046916,9.336775388,9.719988117,9.492333363,9.55374195,9.647340956,9.679915878,9.804350403,9.475345598,9.455721734,9.35837887
"1637488_at",3.458514586,3.160044943,3.364485392,3.807574973,3.693257887,3.731577832,4.466880035,4.014368277,4.315628474,3.371836797,3.370912764,3.381907744,3.316996625,3.251725615,3.289896963
"1629496_at",10.33113379,10.1426878,10.38412277,10.29140282,10.10038816,10.20802625,10.40971447,10.38357538,10.44402738,10.1448634,9.923391313,10.4263811,9.986173387,10.21105181,10.04140282
"1636410_at",4.024734737,2.524067774,2.527998996,2.254953496,2.254953496,2.254953496,2.913836031,3.167031263,3.95572241,2.512927905,2.531545706,2.512927905,2.415680207,2.415680207,2.404714627
"1632884_at",3.106143148,3.01698059,3.140147941,3.282296688,2.759704489,2.458166062,2.838664007,2.79017497,3.107086738,3.128264097,3.104199172,3.189526729,2.532375816,2.644989096,2.624991441
"1628081_s_at",9.382453372,9.2623666,9.482668623,9.685092926,9.660444605,9.760006763,9.780219528,9.591826258,9.394339761,9.228343551,9.351509392,9.349171546,9.146533306,9.10779476,9.097969198
