	GSM864362	GSM864363	GSM864364	GSM864365	GSM864366	GSM864367	GSM864368	GSM864369	GSM864370	GSM864371	GSM864372	GSM864373	GSM864374	GSM864375	GSM864376
1641682_at	2.178527776	2.178527776	2.178527776	2.187544646	2.261536583	2.187544646	2.181974826	2.190829285	2.181974826	2.178527776	2.192794547	2.178527776	2.200007674	2.192850704	2.192850704
1641683_at	10.154274	10.15918654	10.09470327	10.04690839	10.04161339	10.10779413	9.949095557	10.01557717	10.0151048	10.13991726	10.18456741	10.15280709	10.02142457	10.05038935	10.12483624
1641684_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.178624032	2.183879839	2.182576444	2.182576444	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641685_at	9.304081994	9.223103773	9.352605789	9.393843242	9.37763728	8.816059641	8.966780463	9.00204182	8.986193727	9.18423185	9.000273144	8.947751537	8.918022793	9.027608821	8.808431064
1641686_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641687_at	9.716172508	9.560487155	9.499913695	9.74758069	9.678484202	9.656720961	9.566820476	9.578976834	9.498493996	9.615380795	9.654149519	9.616224005	9.533825323	9.733866375	9.555004944
1641688_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174232463	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641689_at	9.492931551	9.512175761	9.548954759	9.419567454	9.252526588	9.452307248	9.389328833	9.425804835	9.282222292	9.44062937	9.513410056	9.566554949	9.218813897	9.321376947	9.34800779
1641690_a_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641691_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641692_at	9.631140955	9.639723702	9.717782494	9.451406746	9.44328341	9.443624234	9.345972569	9.358386951	9.333583684	9.707619598	9.638312478	9.618061024	9.455803779	9.588874936	9.544660445
1641693_s_at	7.819906609	8.314901985	8.264981834	9.173287074	9.094466562	9.350529124	7.745527872	7.713917001	7.486363702	9.026172999	9.037426235	9.064596887	9.111552993	9.023943687	9.1413113
1641694_at	2.174293015	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641695_a_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641696_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.184058903	2.184058903	2.185020589
1641697_at	6.631605493	6.749060142	6.845681698	6.85713074	6.758324978	6.559723551	6.661186158	6.453025258	6.65203762	6.811229792	6.865424073	6.812232838	6.872483694	6.510811508	6.514391645
1641698_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180977426	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641699_at	9.588232708	9.683904771	9.68511693	9.645144449	9.579942068	9.67519118	9.541164669	9.458306649	9.516739744	9.754972096	9.597705568	9.62643745	9.691068638	9.602827272	9.689814698
1641700_at	8.229948541	8.142806835	8.099293919	8.331148667	8.278433919	8.383049784	8.369834881	8.30127608	8.021613376	8.531783002	8.46726002	8.435479155	8.268849911	8.200400691	8.335873496
1641701_at	10.38124281	9.941030574	10.34257918	10.71821852	10.46668154	10.38333623	9.879656821	10.07084157	10.04572372	10.26206371	9.455914639	10.02955897	9.722036506	10.00469281	9.812759552
